Generation,Timestamp,Elapsed_Time_min,Accuracy,Params_M,Current_Pop_Best,Overall_Best_So_Far,Arch
0,2026-04-16 05:44:40,0.7294126868247985,71.68,2.186922,71.68,71.68,"{'c1': 32, 'c2': 32, 'c3': 256, 'fc': 512}"
0,2026-04-16 05:45:21,1.411474887530009,70.92,1.384458,71.68,71.68,"{'c1': 32, 'c2': 128, 'c3': 256, 'fc': 256}"
0,2026-04-16 05:46:01,2.077671809991201,74.31,0.712138,74.31,74.31,"{'c1': 64, 'c2': 64, 'c3': 256, 'fc': 128}"
0,2026-04-16 05:46:42,2.7537558833758036,70.24,0.620362,74.31,74.31,"{'c1': 32, 'c2': 64, 'c3': 128, 'fc': 256}"
0,2026-04-16 05:47:22,3.4316215038299562,73.79,1.422218,74.31,74.31,"{'c1': 64, 'c2': 128, 'c3': 256, 'fc': 256}"
0,2026-04-16 05:48:02,4.082836318016052,70.18,0.64161,74.31,74.31,"{'c1': 32, 'c2': 128, 'c3': 64, 'fc': 512}"
0,2026-04-16 05:48:42,4.762198956807454,68.99,0.24417,74.31,74.31,"{'c1': 32, 'c2': 128, 'c3': 64, 'fc': 128}"
0,2026-04-16 05:49:23,5.440104309717814,69.66,0.28193,74.31,74.31,"{'c1': 64, 'c2': 128, 'c3': 64, 'fc': 128}"
0,2026-04-16 05:50:02,6.098017024993896,71.88,0.858762,74.31,74.31,"{'c1': 32, 'c2': 128, 'c3': 256, 'fc': 128}"
0,2026-04-16 05:50:44,6.794989232222239,71.15,0.896522,74.31,74.31,"{'c1': 64, 'c2': 128, 'c3': 256, 'fc': 128}"
0,2026-04-16 05:51:26,7.498447199662526,70.74,2.181866,74.31,74.31,"{'c1': 16, 'c2': 32, 'c3': 256, 'fc': 512}"
0,2026-04-16 05:52:09,8.201638762156168,72.82,1.365578,74.31,74.31,"{'c1': 16, 'c2': 128, 'c3': 256, 'fc': 256}"
0,2026-04-16 05:52:49,8.87362499634425,71.79,1.111466,74.31,74.31,"{'c1': 64, 'c2': 32, 'c3': 128, 'fc': 512}"
0,2026-04-16 05:53:30,9.552097165584565,67.8,0.22529,74.31,74.31,"{'c1': 16, 'c2': 128, 'c3': 64, 'fc': 128}"
0,2026-04-16 05:54:11,10.23991756439209,64.84,0.22529,74.31,74.31,"{'c1': 16, 'c2': 128, 'c3': 64, 'fc': 128}"
0,2026-04-16 05:54:52,10.929770640532176,72.31,0.896522,74.31,74.31,"{'c1': 64, 'c2': 128, 'c3': 256, 'fc': 128}"
0,2026-04-16 05:55:31,11.571927189826965,66.56,0.35777,74.31,74.31,"{'c1': 16, 'c2': 128, 'c3': 64, 'fc': 256}"
0,2026-04-16 05:56:11,12.245349311828614,69.29,0.605578,74.31,74.31,"{'c1': 64, 'c2': 64, 'c3': 64, 'fc': 512}"
0,2026-04-16 05:56:52,12.916825524965923,64.39,0.305642,74.31,74.31,"{'c1': 16, 'c2': 32, 'c3': 128, 'fc': 128}"
0,2026-04-16 05:57:30,13.550194545586903,65.29,0.347146,74.31,74.31,"{'c1': 16, 'c2': 64, 'c3': 128, 'fc': 128}"
0,2026-04-16 05:58:10,14.228242548306783,69.54,0.604778,74.31,74.31,"{'c1': 16, 'c2': 32, 'c3': 256, 'fc': 128}"
0,2026-04-16 05:58:51,14.909252862135569,70.66,0.712586,74.31,74.31,"{'c1': 32, 'c2': 128, 'c3': 128, 'fc': 256}"
0,2026-04-16 05:59:31,15.568219844500224,71.96,1.147466,74.31,74.31,"{'c1': 32, 'c2': 64, 'c3': 128, 'fc': 512}"
0,2026-04-16 06:00:12,16.263808850447337,71.72,0.750346,74.31,74.31,"{'c1': 64, 'c2': 128, 'c3': 128, 'fc': 256}"
0,2026-04-16 06:00:54,16.959318506717683,67.58,0.430154,74.31,74.31,"{'c1': 16, 'c2': 128, 'c3': 128, 'fc': 128}"
1,2026-04-16 06:01:36,17.64905717372894,72.67,1.145642,74.31,74.31,"{'c1': 64, 'c2': 32, 'c3': 256, 'fc': 256}"
2,2026-04-16 06:02:15,18.30088520050049,71.49,1.147466,74.31,74.31,"{'c1': 32, 'c2': 64, 'c3': 128, 'fc': 512}"
3,2026-04-16 06:02:56,18.991206387678783,72.36,1.23969,73.79,74.31,"{'c1': 32, 'c2': 128, 'c3': 128, 'fc': 512}"
4,2026-04-16 06:03:37,19.680562353134157,74.12,2.47361,74.12,74.31,"{'c1': 64, 'c2': 128, 'c3': 256, 'fc': 512}"
5,2026-04-16 06:04:17,20.348127341270448,72.88,1.237834,74.12,74.31,"{'c1': 64, 'c2': 64, 'c3': 256, 'fc': 256}"
6,2026-04-16 06:04:58,21.02681509256363,73.01,1.365578,74.12,74.31,"{'c1': 16, 'c2': 128, 'c3': 256, 'fc': 256}"
7,2026-04-16 06:05:40,21.724483772118887,74.32,1.422218,74.32,74.32,"{'c1': 64, 'c2': 128, 'c3': 256, 'fc': 256}"
