Generation,Timestamp,Elapsed_Time_min,Accuracy,Params_M,Current_Pop_Best,Overall_Best_So_Far,Arch
0,2026-04-15 21:07:10,0.6847342093785603,35.26,0.66282,35.26,35.26,"{'c1': 64, 'c2': 64, 'c3': 128, 'fc': 256}"
0,2026-04-15 21:07:47,1.3008951425552369,32.95,0.36842,35.26,35.26,"{'c1': 32, 'c2': 64, 'c3': 128, 'fc': 128}"
0,2026-04-15 21:08:25,1.9476903557777405,31.3,0.358756,35.26,35.26,"{'c1': 16, 'c2': 64, 'c3': 128, 'fc': 128}"
0,2026-04-15 21:09:03,2.574053466320038,34.32,0.59738,35.26,35.26,"{'c1': 32, 'c2': 32, 'c3': 128, 'fc': 256}"
0,2026-04-15 21:09:41,3.210591697692871,33.29,0.387748,35.26,35.26,"{'c1': 64, 'c2': 64, 'c3': 128, 'fc': 128}"
0,2026-04-15 21:10:20,3.8573328336079915,37.05,1.407588,37.05,37.05,"{'c1': 32, 'c2': 128, 'c3': 256, 'fc': 256}"
0,2026-04-15 21:10:57,4.476651346683502,37.81,2.46314,37.81,37.81,"{'c1': 16, 'c2': 128, 'c3': 256, 'fc': 512}"
0,2026-04-15 21:11:36,5.117387084166209,32.55,0.29354,37.81,37.81,"{'c1': 64, 'c2': 128, 'c3': 64, 'fc': 128}"
0,2026-04-15 21:12:13,5.737327818075816,35.42,0.908132,37.81,37.81,"{'c1': 64, 'c2': 128, 'c3': 256, 'fc': 128}"
0,2026-04-15 21:12:53,6.39845887819926,35.51,1.183972,37.81,37.81,"{'c1': 16, 'c2': 64, 'c3': 128, 'fc': 512}"
0,2026-04-15 21:13:31,7.045228882630666,34.43,0.870372,37.81,37.81,"{'c1': 32, 'c2': 128, 'c3': 256, 'fc': 128}"
0,2026-04-15 21:14:08,7.662276955445607,32.4,0.31674,37.81,37.81,"{'c1': 32, 'c2': 32, 'c3': 64, 'fc': 256}"
0,2026-04-15 21:14:47,8.306215393543244,31.61,0.182852,37.81,37.81,"{'c1': 64, 'c2': 32, 'c3': 64, 'fc': 128}"
