2026-02-08 23:11:35 |    INFO | compiler | Initializing CompiledModel
2026-02-08 23:11:35 |    INFO | compiler | Building modules for graph with 13 nodes
2026-02-08 23:11:35 |   DEBUG | compiler | Created Conv2d node 0: in=3 out=8 k=3 s=1 p=1 groups=1
2026-02-08 23:11:35 |   DEBUG | compiler | Created BN node 1: features=8
2026-02-08 23:11:35 |   DEBUG | compiler | Created ReLU node 2
2026-02-08 23:11:35 |   DEBUG | compiler | Created Conv2d node 3: in=3 out=8 k=3 s=1 p=1 groups=1
2026-02-08 23:11:35 |   DEBUG | compiler | Created BN node 4: features=8
2026-02-08 23:11:35 |   DEBUG | compiler | Created ReLU node 5
2026-02-08 23:11:35 |   DEBUG | compiler | Created merge node 6 (op=concat)
2026-02-08 23:11:35 |   DEBUG | compiler | Created Conv2d node 7: in=16 out=16 k=3 s=1 p=1 groups=1
2026-02-08 23:11:35 |   DEBUG | compiler | Created BN node 8: features=16
2026-02-08 23:11:35 |   DEBUG | compiler | Created ReLU node 9
2026-02-08 23:11:35 |   DEBUG | compiler | Created Conv2d node 10: in=8 out=16 k=1 s=1 p=0 groups=1
2026-02-08 23:11:35 |   DEBUG | compiler | Created BN node 11: features=16
2026-02-08 23:11:35 |   DEBUG | compiler | Created merge node 12 (op=add)
2026-02-08 23:11:35 |    INFO | compiler | Forward pass order: [0, 3, 1, 4, 2, 5, 10, 6, 11, 7, 8, 9, 12]
2026-02-08 23:11:35 |   DEBUG | compiler | Node 0 has no parents — using graph input
2026-02-08 23:14:07 |    INFO | compiler | Initializing CompiledModel
2026-02-08 23:14:07 |    INFO | compiler | Building modules for graph with 13 nodes
2026-02-08 23:14:07 |   DEBUG | compiler | Created Conv2d node 0: in=3 out=8 k=3 s=1 p=1 groups=1
2026-02-08 23:14:07 |   DEBUG | compiler | Created BN node 1: features=8
2026-02-08 23:14:07 |   DEBUG | compiler | Created ReLU node 2
2026-02-08 23:14:07 |   DEBUG | compiler | Created Conv2d node 3: in=3 out=8 k=3 s=1 p=1 groups=1
2026-02-08 23:14:07 |   DEBUG | compiler | Created BN node 4: features=8
2026-02-08 23:14:07 |   DEBUG | compiler | Created ReLU node 5
2026-02-08 23:14:07 |   DEBUG | compiler | Created merge node 6 (op=concat)
2026-02-08 23:14:07 |   DEBUG | compiler | Created Conv2d node 7: in=16 out=16 k=3 s=1 p=1 groups=1
2026-02-08 23:14:07 |   DEBUG | compiler | Created BN node 8: features=16
2026-02-08 23:14:07 |   DEBUG | compiler | Created ReLU node 9
2026-02-08 23:14:07 |   DEBUG | compiler | Created Conv2d node 10: in=8 out=16 k=1 s=1 p=0 groups=1
2026-02-08 23:14:07 |   DEBUG | compiler | Created BN node 11: features=16
