2026-02-09 00:03:39 |    INFO | operators | Applying operator: prune
2026-02-09 00:07:45 |    INFO | operators | Applying operator: skip
2026-02-09 00:07:45 |    INFO | operators | Applying operator: remove
2026-02-09 00:12:23 |    INFO | operators | Applying operator: prune
2026-02-09 00:12:23 |    INFO | operators | Applying operator: sepconv
2026-02-09 00:12:23 |    INFO | operators | Applying operator: net2wider
2026-02-09 00:16:35 |    INFO | operators | Applying operator: sepconv
2026-02-09 00:16:35 |    INFO | operators | Applying operator: skip
2026-02-09 00:16:35 |    INFO | operators | Applying operator: remove
2026-02-09 00:16:35 | WARNING | operators | Operator remove failed: No safe nodes available for removal
2026-02-09 00:16:35 |    INFO | operators | Applying operator: skip
2026-02-09 00:16:35 |    INFO | operators | Applying operator: remove
2026-02-09 00:16:35 | WARNING | operators | Operator remove failed: No safe nodes available for removal
2026-02-09 00:16:35 |    INFO | operators | Applying operator: remove
2026-02-09 00:16:35 | WARNING | operators | Operator remove failed: No safe nodes available for removal
2026-02-09 00:16:35 |    INFO | operators | Applying operator: skip
2026-02-09 00:22:59 |    INFO | operators | Applying operator: net2wider
2026-02-09 00:22:59 |    INFO | operators | Applying operator: skip
2026-02-09 00:22:59 | WARNING | operators | Operator skip failed: apply_skip_connection() got an unexpected keyword argument 'from_node'
2026-02-09 00:22:59 |    INFO | operators | Applying operator: skip
2026-02-09 00:22:59 | WARNING | operators | Operator skip failed: apply_skip_connection() got an unexpected keyword argument 'from_node'
2026-02-09 00:22:59 |    INFO | operators | Applying operator: skip
2026-02-09 00:22:59 | WARNING | operators | Operator skip failed: apply_skip_connection() got an unexpected keyword argument 'from_node'
2026-02-09 00:22:59 |    INFO | operators | Applying operator: skip
2026-02-09 00:22:59 | WARNING | operators | Operator skip failed: apply_skip_connection() got an unexpected keyword argument 'from_node'
2026-02-09 00:22:59 |    INFO | operators | Applying operator: skip
2026-02-09 00:22:59 | WARNING | operators | Operator skip failed: apply_skip_connection() got an unexpected keyword argument 'from_node'
2026-02-09 00:22:59 |    INFO | operators | Applying operator: skip
2026-02-09 00:22:59 | WARNING | operators | Operator skip failed: apply_skip_connection() got an unexpected keyword argument 'from_node'
2026-02-09 00:22:59 |    INFO | operators | Applying operator: net2wider
2026-02-09 00:22:59 |    INFO | operators | Applying operator: remove
2026-02-09 00:22:59 | WARNING | operators | Operator remove failed: No safe nodes available for removal
2026-02-09 00:22:59 |    INFO | operators | Applying operator: prune
2026-02-09 00:22:59 |    INFO | operators | Applying operator: prune
2026-02-09 00:22:59 |    INFO | operators | Applying operator: remove
2026-02-09 00:22:59 | WARNING | operators | Operator remove failed: No safe nodes available for removal
2026-02-09 00:22:59 |    INFO | operators | Applying operator: net2deeper
2026-02-09 00:22:59 |    INFO | operators | Applying operator: skip
2026-02-09 00:22:59 | WARNING | operators | Operator skip failed: apply_skip_connection() got an unexpected keyword argument 'from_node'
2026-02-09 00:22:59 |    INFO | operators | Applying operator: remove
